Business ID,Name,Address,Coordinates/Latitude,Coordinates/Longitude,Number of Reviews,Rating,Zip Code,CuisineType/S,InsertedAtTimestamp/N
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,40.7637997,-73.98809195,1013,4,10019,french,1697590707
Gfo-8z_CMOpHZVhX-HKD0g,Vanguard Wine Bar,189 Amsterdam Ave,40.77643,-73.983,204,4,10023,french,1697590707
jqTCCgP1P0qv-ouHWynTjQ,Angelina,1050 6th Ave,40.75316,-73.98491,438,4,10018,french,1697590707
V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,40.755403,-73.994516,1348,4,10018,french,1697590707
PXTzmqJW7gbK-IkfKBEnFw,Cafe Triskell,33-04 36th Ave,40.75570279,-73.92801357,481,4.5,11106,french,1697590707
ZOfk6Ao0db5icjc0WEq7zg,Bacchus Bistro & Wine Bar,409-411 Atlantic Ave,40.68692,-73.98437,560,4,11217,french,1697590707
VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,149 W 51st St,40.76132019,-73.9815026,30,4,10019,french,1697590707
TNymQn5Fb0GobRGbax1vRQ,Pergola Des Artistes,252 W 46th St,40.75926,-73.98729,123,3.5,10036,french,1697590707
e55zGi8q6Z0uOZ_RJQhHFA,Vin Sur Vingt,170 2nd Ave,40.73018,-73.98626,29,4,10003,french,1697590707
rVJ57CwEcucZg1k_y8u3Rg,Patisserie Fouet,15 E 13th St,40.735034,-73.993047,445,4,10003,french,1697590707
z8TIY5xLeQptbXxZp3LpsA,Felice 56,15 W 56th St,40.762862,-73.975396,104,4,10019,french,1697590707
nRO136GRieGtxz18uD61DA,Eleven Madison Park,11 Madison Ave,40.74169074,-73.98720749,2450,4.5,10010,french,1697590707
59dXrRQE3JVItSneV3a1bg,Le Veau D'or,129 E 60th St,40.76316,-73.96814,97,3.5,10022,french,1697590707
TQzGf4k3HXyMbnNkYKKQSw,Oxalis,791 Washington Ave,40.673109,-73.9626279,251,4.5,11238,french,1697590707
uA0ua1WnE43E0PrQxni65g,Poulette Rotisserie,790 9th Ave,40.76489639,-73.98750305,189,4,10019,french,1697590707
9pI_G9xGiTY4YCcfe9eoPA,French Louie,320 Atlantic Ave,40.6879459,-73.988257,468,4,11201,french,1697590707
w7pT9wF_0SOEatSpeaFwkQ,T Brasserie,96 South St,40.70629216,-74.00225131,42,3.5,10038,french,1697590707
xTnivXEdEtXrnhp-z4JGvg,La Parisienne,9 Maiden Ln,40.70961,-74.0093799,868,4.5,10038,french,1697590707
CAjV0WZ--OxkepK2CIDBBA,Fleming by Le Bilboquet,27 E 62nd St,40.76534966,-73.96980171,21,3.5,10065,french,1697590707
